,city,state,lat,lng,station_id
0,Austin,Texas,30.27,-97.74,KTXAUSTI1619
1,Ithaca,New York,42.44,-76.5,KNYITHAC76
2,Berkeley,California,37.87,-122.27,KCABERKE186
3,Dryden,New York,42.49,-76.3,KNYDRYDE18
4,Boulder,Colorado,40.01,-105.27,KCOBOULD478
5,Oakland,California,37.8,-122.27,KCAOAKLA175
6,Trumansburg,New York,42.54,-76.67,KNYTRUMA4
7,Georgetown,Texas,30.63,-97.68,KTXGEORG253
8,Dallas,Texas,32.78,-96.8,KTXDALLA536
9,Houston,Texas,29.76,-95.37,KTXHOUST2912
10,Fort Worth,Texas,32.76,-97.33,KTXFORTW438
11,Benbrook,Texas,32.67,-97.46,KTXBENBR7
12,Willow Park,Texas,32.76,-97.65,KTXWEATH168
13,Weatherford,Texas,32.76,-97.8,KTXWEATH163
14,North Richland Hills,Texas,32.83,-97.23,KTXNORTH10
15,Argyle,Texas,33.12,-97.18,KTXARGYL64
16,Bedford,Texas,32.84,-97.14,KTXBEDFO20
17,Grapevine,Texas,32.93,-97.08,KTXGRAPE115
18,Hurst,Texas,32.82,-97.17,KTXHURST21
19,Waxahachie,Texas,32.39,-96.85,KTXWAXAH130
20,Grand Prairie,Texas,32.75,-97.0,KTXGRAND93
21,Arlington,Texas,32.74,-97.11,KTXARLIN254
22,Flower Mound,Texas,33.01,-97.1,KTXFLOWE33
23,Richardson,Texas,32.95,-96.73,KTXRICHA112
24,Southlake,Texas,32.94,-97.13,KTXSOUTH47
25,Tolar,Texas,32.39,-97.92,KTXTOLAR5
26,Cedar Hill,Texas,32.59,-96.96,KTXCEDAR230
27,Mansfield,Texas,32.56,-97.14,KTXMANSF83
28,Kingwood,Texas,30.05,-95.18,KTXKINGW89
29,Burleson,Texas,32.54,-97.32,KTXBURLE17
30,Santa Fe,Texas,29.38,-95.11,KTXSANTA5
31,Irving,Texas,32.81,-96.95,KTXIRVIN99
32,Kennedale,Texas,32.65,-97.23,KTXKENNE6
33,Plano,Texas,33.02,-96.7,KTXPLANO79
34,Rowlett,Texas,32.9,-96.56,KTXROWLE12
35,Round Rock,Texas,30.51,-97.68,KTXROUND258
36,Coppell,Texas,32.95,-97.02,KTXCOPPE59
37,Wichita Falls,Texas,33.91,-98.49,KTXWICHI94
38,Allen,Texas,33.1,-96.67,KTXALLEN185
39,Bellaire,Texas,29.71,-95.46,KTXBELLA2
40,Midland,Texas,32.0,-102.08,KTXMIDLA131
41,Colleyville,Texas,32.88,-97.16,KTXCOLLE241
42,Katy,Texas,29.79,-95.82,KTXKATY316
43,Sugar Land,Texas,29.6,-95.62,KTXSUGAR5
44,Frisco,Texas,33.15,-96.82,KTXFRISC146
45,Spring,Texas,30.08,-95.42,KTXSPRIN371
46,Euless,Texas,32.84,-97.08,KTXEULES16
47,Carrollton,Texas,32.98,-96.89,KTXCARRO177
48,Haslet,Texas,32.97,-97.35,KTXHASLE58
49,Baytown,Texas,29.74,-94.98,KTXBAYTO51
50,Richmond,Texas,29.58,-95.76,KTXRICHM173
51,Sherman,Texas,33.64,-96.61,KTXSHERM41
52,Sulphur Springs,Texas,33.14,-95.6,KTXBRASH4
53,Temple,Texas,31.1,-97.34,KTXTEMPL73
54,Waco,Texas,31.55,-97.15,KTXWACO60
55,Little Elm,Texas,33.16,-96.94,KTXLITTL103
56,Brownwood,Texas,31.71,-98.99,KTXBROWN31
57,Flint,Texas,32.2,-95.35,KTXFLINT25
58,Freeport,Texas,28.95,-95.36,KTXFREEP44
59,Pottsboro,Texas,33.76,-96.67,KTXDENIS27
60,Taylor,Texas,30.57,-97.41,KTXTAYLO10
61,Gainesville,Texas,33.63,-97.13,KTXGAINE26
62,Haltom City,Texas,32.8,-97.27,KTXHALTO8
63,Tomball,Texas,30.1,-95.62,KTXTOMBA136
64,Friendswood,Texas,29.53,-95.2,KTXFRIEN47
65,Heath,Texas,32.84,-96.47,KTXROCKW101
